"sub","CP1","CP2","CP3","meanCP","NCP1","NCP2","NCP3","meanNCP","CL1","CL2","CL3","meanCL","NCL1","NCL2","NCL3","meanNCL","RAN1","RAN2","RAN3","meanRAN","ORFwpm1","ORFwpm2","ORFwpm3","meanORFwpm"
1,15.58456416,14.66788555,18.96766534,16.4067050166667,13.83467602,13.68475341,16.73449648,14.7513086366667,17.8677066829987,17.9009794259982,16.8510582890012,17.5399147993327,20.41772159,19.48427698,17.69943778,19.2004787833333,14.45132531,16.8009975,15.91776369,15.7233621666667,176.022842973654,180.626541410024,172.821433545862,176.49027264318
2,15.13461573,18.76587459,15.71610347,16.5388645966667,18.33441753,15.81785385,15.66780029,16.6066905566667,14.46795342,21.76756602,17.20128459,17.81226801,20.7176175459972,22.1841800780021,18.251053551001,20.3842837250001,16.93449362,17.26770555,15.05129293,16.4178307,191.853118295156,174.498056519394,168.823828471054,178.391667761868
3,23.63403174,26.6839422,30.2320419,26.85000528,20.59915088,20.51754562,22.55071227,21.22246959,18.0993455539938,20.484237622004,19.5009118419985,19.3614983393321,23.88418868,25.86732773,22.76748873,24.1730017133333,20.16770403,19.46762589,19.3343196,19.65654984,136.287336027135,128.224175986558,105.696496717064,123.402669576919
4,18.00099415,19.18431596,16.33447101,17.83992704,18.03437072,21.69964888,19.08422532,19.60608164,18.58447835,25.46720436,17.8009986,20.6175604366667,24.1841572810008,19.7009932900037,18.3009255830038,20.7286920513361,15.91777491,18.70109159,18.55101021,17.7232922366667,149.823824073406,153.596084182676,145.101207922588,149.507038726223
5,24.95053793,18.81765948,18.84935419,20.8725172,17.41777902,15.80112944,18.15098726,17.1232985733333,16.1678276730017,14.4012660570006,16.4347867070028,15.6679601456684,19.64933673,18.50106443,14.58462234,17.5783411666667,13.21623415,13.61784408,14.65136601,13.8284814133333,204.498870062394,207.908078571459,182.405495656726,198.270814763526
6,15.75058174,23.14905652,19.65033751,19.51665859,19.20036667,17.0338396,25.73325541,20.65582056,20.35030347,24.31568045,20.66695258,21.7776455,21.4502147730018,26.1489350170013,22.3335789319972,23.3109095740001,21.81698763,21.63363482,20.600232,21.3502848166667,189.192786336431,184.54637933898,177.368217200287,183.702460958566
7,15.7011570989998,14.6180138050113,14.9161892039992,15.0784533693368,14.0513163600117,14.3679360240058,15.4346472809993,14.6179665550056,19.1511784239992,19.4343320890039,19.2508516480011,19.2787873870014,24.5507425920077,22.7340741730004,19.3343261120026,22.2063809590036,17.6678399960074,19.4676796059939,16.6677697220002,17.9344297746672,193.115930111887,172.950845098667,170.444180036485,178.836985082346
8,14.7661627149937,13.3012939370092,13.3345673580043,13.8006746700024,17.7178556080034,15.4346593549999,15.667810605999,16.2734418563341,19.5009910020017,19.9509226109949,19.0343296690116,19.4954144273361,22.9507150349964,24.1174038720055,22.7674078349955,23.2785089139992,18.0843853409897,17.8842802900035,17.6178217690031,17.8621624666654,203.735269750232,190.708972707724,182.467901802981,192.304048086979
9,31.5663569690078,18.500576268998,26.3666457390063,25.477859659004,16.2671685389942,19.2672535680031,18.1005982979987,17.8783401349986,19.2170201420086,18.8838697430037,19.3671901549969,19.1560266800031,22.6503767130052,18.9338668109995,18.4672187899996,20.0171541046681,15.700555501011,15.9340165080066,16.7838179769897,16.1394633286691,176.26177997199,150.148209880227,146.458604201903,157.622864684707
10,17.0676758590125,14.8012412829994,19.1843456049974,17.0177542490031,17.2346140510053,19.2176170489984,21.3490912830021,19.2671074610019,15.5662965119991,21.6676234479964,15.5178560729983,17.5839253443313,18.5176927720022,16.1677891670115,16.1845045679947,16.9566621690028,14.7345714709954,15.1013625030027,14.9344735199993,14.9234691646658,177.074962499871,182.03877595708,169.091750307913,176.068496254955
12,14.8845607859985,14.9179011270026,14.8345892549987,14.8790170559999,14.6512169240013,16.0345686490036,17.6842952610023,16.1233602780024,15.70137285901,16.4345918160107,15.6844683689997,15.9401443480068,19.0010500590142,16.6677714339894,15.9011319590063,17.1899844840033,11.9180406259984,15.2012476679956,12.334656653009,13.1513149823343,249.893821735953,215.767049956005,214.062712342409,226.574528011456
13,16.7177170869982,14.7179169709998,24.5340262889949,18.6565534489976,17.6827404119977,15.3678762880008,27.7822666779975,20.2776277926653,17.2844178440137,16.5345776950126,18.6842138159991,17.5010697850084,20.5009277279896,22.2674006890011,18.9175908619945,20.5619730929951,18.0343326279981,19.4176642379898,18.8509536359925,18.7676501673268,174.246697945334,179.518491537397,144.119999303453,165.961729595395
